Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.000787428914994281,-1.83075406456207E-05,0.107323331270255,0,0,0,1.15838359805273,0.0219713158559028,-9.40626592111054E-07,9.2738420089645E-05,0.00422673444217098,-7.70783645651175E-07,0.0207259268117321,0,0,0,0,0,0,package://data_box/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://data_box/meshes/base_link.STL,,frame-1,frame_base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
rs_lidar_helios_16_link,-0.00452075202393731,-7.80288514685284E-05,0.260457610770344,0,0,0,0.113882797696896,0.000125295044463457,1.11588859800229E-07,3.34574585202296E-07,0.000124081102889914,-2.66581194133952E-08,0.000195631931532674,0,0,0,0,0,0,package://data_box/meshes/rs_lidar_helios_16_link.STL,1,1,1,1,0,0,0,0,0,0,package://data_box/meshes/rs_lidar_helios_16_link.STL,,rs_lidar_16p-1,frame_base_link,,rs_lidar_helios_16_joint,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
fix_position_link,-0.0210019786922248,0.000535676714985181,0.144948491359208,0,0,0,0.118063290085794,0.00012999992297737,1.73846793301927E-06,-7.00576635618777E-08,0.000194643676178331,2.51581795172831E-07,0.000313256645274373,0,0,0,0,0,0,package://data_box/meshes/fix_position_link.STL,1,1,1,1,0,0,0,0,0,0,package://data_box/meshes/fix_position_link.STL,,fixposition-1,frame_base_link,Axis_fix_position_joint,fix_position_joint,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
zed_2i_link,0.0406020692823187,2.17827400030152E-05,0.103921804825248,0,0,0,0.168079517614203,0.000384913057926628,6.79928635093987E-09,-6.96487594399274E-08,3.26812596707518E-05,1.86536439271353E-09,0.000392812643360746,0,0,0,0,0,0,package://data_box/meshes/zed_2i_link.STL,1,1,1,1,0,0,0,0,0,0,package://data_box/meshes/zed_2i_link.STL,,zed2i-1,frame_base_link,Axis_zed_2i_joint,zed_2i_joint,continuous,0,0,0,0,0,0,base_link,0,0,1,,,,,,,,,,,,
livox_avia_link,0.0152909813480095,0.214879764678257,0.0499268694334654,0,0,0,0.350001642183942,0.000227163794322702,3.05563807786846E-06,-7.86822364841687E-08,0.000364824237094972,4.20617351186621E-08,0.000347412468045197,0,0,0,0,0,0,package://data_box/meshes/livox_avia_link.STL,1,1,1,1,0,0,0,0,0,0,package://data_box/meshes/livox_avia_link.STL,,livox_avia-1,frame_base_link,Axis_livox_avia_joint,livox_avia_joint,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
rs_lidar_m1_link,-9.9075991481179E-05,-0.0114021409702183,0.0270396973956233,0,0,0,0.125138987066341,0.000125858785929919,-2.52580122830284E-07,-5.62445354874571E-07,0.000122011142430664,-8.5697690021362E-07,0.000219878636311986,0,0,0,0,0,0,package://data_box/meshes/rs_lidar_m1_link.STL,1,1,1,1,0,0,0,0,0,0,package://data_box/meshes/rs_lidar_m1_link.STL,,rs_lidar_m1-1,frame_base_link,,rs_lidar_m1_joint,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
antenna_left_link,0.00092626279799124,0.266141829669457,0.175614231095598,0,0,0,0.0635136221031923,0.000101817017024313,-6.07457557718795E-08,1.26778224996059E-08,0.00010182994551348,1.04586743908485E-08,0.000198738425480425,0,0,0,0,0,0,package://data_box/meshes/antenna_left_link.STL,1,1,1,1,0,0,0,0,0,0,package://data_box/meshes/antenna_left_link.STL,,antenna_left-1,frame_base_link,Axis_antenna_left_joint,antenna_left_joint,continuous,0,0,0,0,0,0,base_link,0,0,1,,,,,,,,,,,,
antenna_right_link,0.00092856699811561,-0.26614164521,0.175615361300037,0,0,0,0.0635188236843611,0.000101817178722521,5.98749533463758E-08,1.22645896383536E-08,0.000101829480333974,-1.04999705769353E-08,0.000198738445923012,0,0,0,0,0,0,package://data_box/meshes/antenna_right_link.STL,1,1,1,1,0,0,0,0,0,0,package://data_box/meshes/antenna_right_link.STL,,antenna_right-1,frame_base_link,Axis_antenna_right_joint,antenna_right_joint,continuous,0,0,0,0,0,0,base_link,0,0,1,,,,,,,,,,,,
